id,text,tweet_len,text_links,text_newline,text_punct,text_token,text_stop,token_bigrams,token_trigrams,sentiment,value
pennyhooker1,"RT @realDonaldTrump: Great day at the #G20Summit in Buenos Aires, Argentina. Thank you! https://t.co/4IHvUdOygc",111,"RT @realDonaldTrump: Great day at the #G20Summit in Buenos Aires, Argentina. Thank you! ","RT @realDonaldTrump: Great day at the #G20Summit in Buenos Aires, Argentina. Thank you! ",RT @realDonaldTrump Great day at the #G20Summit in Buenos Aires Argentina Thank you ,"['RT', '@realDonaldTrump', 'Great', 'day', 'at', 'the', '#G20Summit', 'in', 'Buenos', 'Aires', 'Argentina', 'Thank', 'you', '']",RT @realDonaldTrump Great day #G20Summit Buenos Aires Argentina Thank ,"[('RT', '@realDonaldTrump'), ('@realDonaldTrump', 'Great'), ('Great', 'day'), ('day', 'at'), ('at', 'the'), ('the', '#G20Summit'), ('#G20Summit', 'in'), ('in', 'Buenos'), ('Buenos', 'Aires'), ('Aires', 'Argentina'), ('Argentina', 'Thank'), ('Thank', 'you'), ('you', '')]","[('RT', '@realDonaldTrump', 'Great'), ('@realDonaldTrump', 'Great', 'day'), ('Great', 'day', 'at'), ('day', 'at', 'the'), ('at', 'the', '#G20Summit'), ('the', '#G20Summit', 'in'), ('#G20Summit', 'in', 'Buenos'), ('in', 'Buenos', 'Aires'), ('Buenos', 'Aires', 'Argentina'), ('Aires', 'Argentina', 'Thank'), ('Argentina', 'Thank', 'you'), ('Thank', 'you', '')]",Positive,3
gia_doreen,RT @kenvogel: NEW: Former top TRUMP fundraiser @ELLIOTT_BROIDY accepted at least $6M in laundered money to lobby the Trump administration t…,140,RT @kenvogel: NEW: Former top TRUMP fundraiser @ELLIOTT_BROIDY accepted at least $6M in laundered money to lobby the Trump administration t…,RT @kenvogel: NEW: Former top TRUMP fundraiser @ELLIOTT_BROIDY accepted at least $6M in laundered money to lobby the Trump administration t…,RT @kenvogel NEW Former top TRUMP fundraiser @ELLIOTTBROIDY accepted at least 6M in laundered money to lobby the Trump administration t…,"['RT', '@kenvogel', 'NEW', 'Former', 'top', 'TRUMP', 'fundraiser', '@ELLIOTTBROIDY', 'accepted', 'at', 'least', '6M', 'in', 'laundered', 'money', 'to', 'lobby', 'the', 'Trump', 'administration', 't…']",RT @kenvogel NEW Former top TRUMP fundraiser @ELLIOTTBROIDY accepted least 6M laundered money lobby Trump administration t…,"[('RT', '@kenvogel'), ('@kenvogel', 'NEW'), ('NEW', 'Former'), ('Former', 'top'), ('top', 'TRUMP'), ('TRUMP', 'fundraiser'), ('fundraiser', '@ELLIOTTBROIDY'), ('@ELLIOTTBROIDY', 'accepted'), ('accepted', 'at'), ('at', 'least'), ('least', '6M'), ('6M', 'in'), ('in', 'laundered'), ('laundered', 'money'), ('money', 'to'), ('to', 'lobby'), ('lobby', 'the'), ('the', 'Trump'), ('Trump', 'administration'), ('administration', 't…')]","[('RT', '@kenvogel', 'NEW'), ('@kenvogel', 'NEW', 'Former'), ('NEW', 'Former', 'top'), ('Former', 'top', 'TRUMP'), ('top', 'TRUMP', 'fundraiser'), ('TRUMP', 'fundraiser', '@ELLIOTTBROIDY'), ('fundraiser', '@ELLIOTTBROIDY', 'accepted'), ('@ELLIOTTBROIDY', 'accepted', 'at'), ('accepted', 'at', 'least'), ('at', 'least', '6M'), ('least', '6M', 'in'), ('6M', 'in', 'laundered'), ('in', 'laundered', 'money'), ('laundered', 'money', 'to'), ('money', 'to', 'lobby'), ('to', 'lobby', 'the'), ('lobby', 'the', 'Trump'), ('the', 'Trump', 'administration'), ('Trump', 'administration', 't…')]",Negative,1
Tamaraciocci,"RT @LincolnsBible: Subpoena Power + FinCEN investigators:
Tax returns will be matched to bank statements.
Bank statements will be matched t…",140,"RT @LincolnsBible: Subpoena Power + FinCEN investigators:
Tax returns will be matched to bank statements.
Bank statements will be matched t…",RT @LincolnsBible: Subpoena Power + FinCEN investigators:Tax returns will be matched to bank statements.Bank statements will be matched t…,RT @LincolnsBible Subpoena Power  FinCEN investigatorsTax returns will be matched to bank statementsBank statements will be matched t…,"['RT', '@LincolnsBible', 'Subpoena', 'Power', '', 'FinCEN', 'investigatorsTax', 'returns', 'will', 'be', 'matched', 'to', 'bank', 'statementsBank', 'statements', 'will', 'be', 'matched', 't…']",RT @LincolnsBible Subpoena Power  FinCEN investigatorsTax returns matched bank statementsBank statements matched t…,"[('RT', '@LincolnsBible'), ('@LincolnsBible', 'Subpoena'), ('Subpoena', 'Power'), ('Power', ''), ('', 'FinCEN'), ('FinCEN', 'investigatorsTax'), ('investigatorsTax', 'returns'), ('returns', 'will'), ('will', 'be'), ('be', 'matched'), ('matched', 'to'), ('to', 'bank'), ('bank', 'statementsBank'), ('statementsBank', 'statements'), ('statements', 'will'), ('will', 'be'), ('be', 'matched'), ('matched', 't…')]","[('RT', '@LincolnsBible', 'Subpoena'), ('@LincolnsBible', 'Subpoena', 'Power'), ('Subpoena', 'Power', ''), ('Power', '', 'FinCEN'), ('', 'FinCEN', 'investigatorsTax'), ('FinCEN', 'investigatorsTax', 'returns'), ('investigatorsTax', 'returns', 'will'), ('returns', 'will', 'be'), ('will', 'be', 'matched'), ('be', 'matched', 'to'), ('matched', 'to', 'bank'), ('to', 'bank', 'statementsBank'), ('bank', 'statementsBank', 'statements'), ('statementsBank', 'statements', 'will'), ('statements', 'will', 'be'), ('will', 'be', 'matched'), ('be', 'matched', 't…')]",Negative,1
hiddenmesulo,RT @ananavarro: “No. No. Really. It was hilarious. He lived and worked in the US.  I sent a team. They tortured him. They bled him dry. The…,140,RT @ananavarro: “No. No. Really. It was hilarious. He lived and worked in the US.  I sent a team. They tortured him. They bled him dry. The…,RT @ananavarro: “No. No. Really. It was hilarious. He lived and worked in the US.  I sent a team. They tortured him. They bled him dry. The…,RT @ananavarro No No Really It was hilarious He lived and worked in the US  I sent a team They tortured him They bled him dry The…,"['RT', '@ananavarro', 'No', 'No', 'Really', 'It', 'was', 'hilarious', 'He', 'lived', 'and', 'worked', 'in', 'the', 'US', '', 'I', 'sent', 'a', 'team', 'They', 'tortured', 'him', 'They', 'bled', 'him', 'dry', 'The…']",RT @ananavarro No No Really It hilarious He lived worked US  I sent team They tortured They bled dry The…,"[('RT', '@ananavarro'), ('@ananavarro', 'No'), ('No', 'No'), ('No', 'Really'), ('Really', 'It'), ('It', 'was'), ('was', 'hilarious'), ('hilarious', 'He'), ('He', 'lived'), ('lived', 'and'), ('and', 'worked'), ('worked', 'in'), ('in', 'the'), ('the', 'US'), ('US', ''), ('', 'I'), ('I', 'sent'), ('sent', 'a'), ('a', 'team'), ('team', 'They'), ('They', 'tortured'), ('tortured', 'him'), ('him', 'They'), ('They', 'bled'), ('bled', 'him'), ('him', 'dry'), ('dry', 'The…')]","[('RT', '@ananavarro', 'No'), ('@ananavarro', 'No', 'No'), ('No', 'No', 'Really'), ('No', 'Really', 'It'), ('Really', 'It', 'was'), ('It', 'was', 'hilarious'), ('was', 'hilarious', 'He'), ('hilarious', 'He', 'lived'), ('He', 'lived', 'and'), ('lived', 'and', 'worked'), ('and', 'worked', 'in'), ('worked', 'in', 'the'), ('in', 'the', 'US'), ('the', 'US', ''), ('US', '', 'I'), ('', 'I', 'sent'), ('I', 'sent', 'a'), ('sent', 'a', 'team'), ('a', 'team', 'They'), ('team', 'They', 'tortured'), ('They', 'tortured', 'him'), ('tortured', 'him', 'They'), ('him', 'They', 'bled'), ('They', 'bled', 'him'), ('bled', 'him', 'dry'), ('him', 'dry', 'The…')]",Negative,1
dlg_donna,RT @TaxReformExpert: The migrant caravan wants President Trump to speed up the asylum process so more migrants can get into the United Stat…,140,RT @TaxReformExpert: The migrant caravan wants President Trump to speed up the asylum process so more migrants can get into the United Stat…,RT @TaxReformExpert: The migrant caravan wants President Trump to speed up the asylum process so more migrants can get into the United Stat…,RT @TaxReformExpert The migrant caravan wants President Trump to speed up the asylum process so more migrants can get into the United Stat…,"['RT', '@TaxReformExpert', 'The', 'migrant', 'caravan', 'wants', 'President', 'Trump', 'to', 'speed', 'up', 'the', 'asylum', 'process', 'so', 'more', 'migrants', 'can', 'get', 'into', 'the', 'United', 'Stat…']",RT @TaxReformExpert The migrant caravan wants President Trump speed asylum process migrants get United Stat…,"[('RT', '@TaxReformExpert'), ('@TaxReformExpert', 'The'), ('The', 'migrant'), ('migrant', 'caravan'), ('caravan', 'wants'), ('wants', 'President'), ('President', 'Trump'), ('Trump', 'to'), ('to', 'speed'), ('speed', 'up'), ('up', 'the'), ('the', 'asylum'), ('asylum', 'process'), ('process', 'so'), ('so', 'more'), ('more', 'migrants'), ('migrants', 'can'), ('can', 'get'), ('get', 'into'), ('into', 'the'), ('the', 'United'), ('United', 'Stat…')]","[('RT', '@TaxReformExpert', 'The'), ('@TaxReformExpert', 'The', 'migrant'), ('The', 'migrant', 'caravan'), ('migrant', 'caravan', 'wants'), ('caravan', 'wants', 'President'), ('wants', 'President', 'Trump'), ('President', 'Trump', 'to'), ('Trump', 'to', 'speed'), ('to', 'speed', 'up'), ('speed', 'up', 'the'), ('up', 'the', 'asylum'), ('the', 'asylum', 'process'), ('asylum', 'process', 'so'), ('process', 'so', 'more'), ('so', 'more', 'migrants'), ('more', 'migrants', 'can'), ('migrants', 'can', 'get'), ('can', 'get', 'into'), ('get', 'into', 'the'), ('into', 'the', 'United'), ('the', 'United', 'Stat…')]",Negative,1
TallTallDaddy,RT @JohnWDean: It will be a state funeral for Geo. H.W. Bush. When his wife Barbara recently passed Trump was asked not to attend. What in…,139,RT @JohnWDean: It will be a state funeral for Geo. H.W. Bush. When his wife Barbara recently passed Trump was asked not to attend. What in…,RT @JohnWDean: It will be a state funeral for Geo. H.W. Bush. When his wife Barbara recently passed Trump was asked not to attend. What in…,RT @JohnWDean It will be a state funeral for Geo HW Bush When his wife Barbara recently passed Trump was asked not to attend What in…,"['RT', '@JohnWDean', 'It', 'will', 'be', 'a', 'state', 'funeral', 'for', 'Geo', 'HW', 'Bush', 'When', 'his', 'wife', 'Barbara', 'recently', 'passed', 'Trump', 'was', 'asked', 'not', 'to', 'attend', 'What', 'in…']",RT @JohnWDean It state funeral Geo HW Bush When wife Barbara recently passed Trump asked attend What in…,"[('RT', '@JohnWDean'), ('@JohnWDean', 'It'), ('It', 'will'), ('will', 'be'), ('be', 'a'), ('a', 'state'), ('state', 'funeral'), ('funeral', 'for'), ('for', 'Geo'), ('Geo', 'HW'), ('HW', 'Bush'), ('Bush', 'When'), ('When', 'his'), ('his', 'wife'), ('wife', 'Barbara'), ('Barbara', 'recently'), ('recently', 'passed'), ('passed', 'Trump'), ('Trump', 'was'), ('was', 'asked'), ('asked', 'not'), ('not', 'to'), ('to', 'attend'), ('attend', 'What'), ('What', 'in…')]","[('RT', '@JohnWDean', 'It'), ('@JohnWDean', 'It', 'will'), ('It', 'will', 'be'), ('will', 'be', 'a'), ('be', 'a', 'state'), ('a', 'state', 'funeral'), ('state', 'funeral', 'for'), ('funeral', 'for', 'Geo'), ('for', 'Geo', 'HW'), ('Geo', 'HW', 'Bush'), ('HW', 'Bush', 'When'), ('Bush', 'When', 'his'), ('When', 'his', 'wife'), ('his', 'wife', 'Barbara'), ('wife', 'Barbara', 'recently'), ('Barbara', 'recently', 'passed'), ('recently', 'passed', 'Trump'), ('passed', 'Trump', 'was'), ('Trump', 'was', 'asked'), ('was', 'asked', 'not'), ('asked', 'not', 'to'), ('not', 'to', 'attend'), ('to', 'attend', 'What'), ('attend', 'What', 'in…')]",Negative,1
PKvideo,"RT @DeanObeidallah: Here is Trump jus a few months ago ridiculing George H.W. Bush famous words about a ""thousand points of light"" which wa…",140,"RT @DeanObeidallah: Here is Trump jus a few months ago ridiculing George H.W. Bush famous words about a ""thousand points of light"" which wa…","RT @DeanObeidallah: Here is Trump jus a few months ago ridiculing George H.W. Bush famous words about a ""thousand points of light"" which wa…",RT @DeanObeidallah Here is Trump jus a few months ago ridiculing George HW Bush famous words about a thousand points of light which wa…,"['RT', '@DeanObeidallah', 'Here', 'is', 'Trump', 'jus', 'a', 'few', 'months', 'ago', 'ridiculing', 'George', 'HW', 'Bush', 'famous', 'words', 'about', 'a', 'thousand', 'points', 'of', 'light', 'which', 'wa…']",RT @DeanObeidallah Here Trump jus months ago ridiculing George HW Bush famous words thousand points light wa…,"[('RT', '@DeanObeidallah'), ('@DeanObeidallah', 'Here'), ('Here', 'is'), ('is', 'Trump'), ('Trump', 'jus'), ('jus', 'a'), ('a', 'few'), ('few', 'months'), ('months', 'ago'), ('ago', 'ridiculing'), ('ridiculing', 'George'), ('George', 'HW'), ('HW', 'Bush'), ('Bush', 'famous'), ('famous', 'words'), ('words', 'about'), ('about', 'a'), ('a', 'thousand'), ('thousand', 'points'), ('points', 'of'), ('of', 'light'), ('light', 'which'), ('which', 'wa…')]","[('RT', '@DeanObeidallah', 'Here'), ('@DeanObeidallah', 'Here', 'is'), ('Here', 'is', 'Trump'), ('is', 'Trump', 'jus'), ('Trump', 'jus', 'a'), ('jus', 'a', 'few'), ('a', 'few', 'months'), ('few', 'months', 'ago'), ('months', 'ago', 'ridiculing'), ('ago', 'ridiculing', 'George'), ('ridiculing', 'George', 'HW'), ('George', 'HW', 'Bush'), ('HW', 'Bush', 'famous'), ('Bush', 'famous', 'words'), ('famous', 'words', 'about'), ('words', 'about', 'a'), ('about', 'a', 'thousand'), ('a', 'thousand', 'points'), ('thousand', 'points', 'of'), ('points', 'of', 'light'), ('of', 'light', 'which'), ('light', 'which', 'wa…')]",Negative,1
jamesjburkeIII,"RT @RazorPack65: @realDonaldTrump I really can't believe how many loving, tolerant caring liberals troll the president of the USA. Your tot…",140,"RT @RazorPack65: @realDonaldTrump I really can't believe how many loving, tolerant caring liberals troll the president of the USA. Your tot…","RT @RazorPack65: @realDonaldTrump I really can't believe how many loving, tolerant caring liberals troll the president of the USA. Your tot…",RT @RazorPack65 @realDonaldTrump I really cant believe how many loving tolerant caring liberals troll the president of the USA Your tot…,"['RT', '@RazorPack65', '@realDonaldTrump', 'I', 'really', 'cant', 'believe', 'how', 'many', 'loving', 'tolerant', 'caring', 'liberals', 'troll', 'the', 'president', 'of', 'the', 'USA', 'Your', 'tot…']",RT @RazorPack65 @realDonaldTrump I really cant believe many loving tolerant caring liberals troll president USA Your tot…,"[('RT', '@RazorPack65'), ('@RazorPack65', '@realDonaldTrump'), ('@realDonaldTrump', 'I'), ('I', 'really'), ('really', 'cant'), ('cant', 'believe'), ('believe', 'how'), ('how', 'many'), ('many', 'loving'), ('loving', 'tolerant'), ('tolerant', 'caring'), ('caring', 'liberals'), ('liberals', 'troll'), ('troll', 'the'), ('the', 'president'), ('president', 'of'), ('of', 'the'), ('the', 'USA'), ('USA', 'Your'), ('Your', 'tot…')]","[('RT', '@RazorPack65', '@realDonaldTrump'), ('@RazorPack65', '@realDonaldTrump', 'I'), ('@realDonaldTrump', 'I', 'really'), ('I', 'really', 'cant'), ('really', 'cant', 'believe'), ('cant', 'believe', 'how'), ('believe', 'how', 'many'), ('how', 'many', 'loving'), ('many', 'loving', 'tolerant'), ('loving', 'tolerant', 'caring'), ('tolerant', 'caring', 'liberals'), ('caring', 'liberals', 'troll'), ('liberals', 'troll', 'the'), ('troll', 'the', 'president'), ('the', 'president', 'of'), ('president', 'of', 'the'), ('of', 'the', 'USA'), ('the', 'USA', 'Your'), ('USA', 'Your', 'tot…')]",Negative,1
NFowee1,"RT @jordanwfisher_: ""I will build a great wall -- and nobody builds walls better than me, believe me, --and I'll build them very inexpensiv…",140,"RT @jordanwfisher_: ""I will build a great wall -- and nobody builds walls better than me, believe me, --and I'll build them very inexpensiv…","RT @jordanwfisher_: ""I will build a great wall -- and nobody builds walls better than me, believe me, --and I'll build them very inexpensiv…",RT @jordanwfisher I will build a great wall  and nobody builds walls better than me believe me and Ill build them very inexpensiv…,"['RT', '@jordanwfisher', 'I', 'will', 'build', 'a', 'great', 'wall', '', 'and', 'nobody', 'builds', 'walls', 'better', 'than', 'me', 'believe', 'me', 'and', 'Ill', 'build', 'them', 'very', 'inexpensiv…']",RT @jordanwfisher I build great wall  nobody builds walls better believe Ill build inexpensiv…,"[('RT', '@jordanwfisher'), ('@jordanwfisher', 'I'), ('I', 'will'), ('will', 'build'), ('build', 'a'), ('a', 'great'), ('great', 'wall'), ('wall', ''), ('', 'and'), ('and', 'nobody'), ('nobody', 'builds'), ('builds', 'walls'), ('walls', 'better'), ('better', 'than'), ('than', 'me'), ('me', 'believe'), ('believe', 'me'), ('me', 'and'), ('and', 'Ill'), ('Ill', 'build'), ('build', 'them'), ('them', 'very'), ('very', 'inexpensiv…')]","[('RT', '@jordanwfisher', 'I'), ('@jordanwfisher', 'I', 'will'), ('I', 'will', 'build'), ('will', 'build', 'a'), ('build', 'a', 'great'), ('a', 'great', 'wall'), ('great', 'wall', ''), ('wall', '', 'and'), ('', 'and', 'nobody'), ('and', 'nobody', 'builds'), ('nobody', 'builds', 'walls'), ('builds', 'walls', 'better'), ('walls', 'better', 'than'), ('better', 'than', 'me'), ('than', 'me', 'believe'), ('me', 'believe', 'me'), ('believe', 'me', 'and'), ('me', 'and', 'Ill'), ('and', 'Ill', 'build'), ('Ill', 'build', 'them'), ('build', 'them', 'very'), ('them', 'very', 'inexpensiv…')]",Positive,3
bukston,"RT @benwikler: In Wisconsin, right now, the GOP has total control: the governorship, both chambers of the state legislature, and a majority…",140,"RT @benwikler: In Wisconsin, right now, the GOP has total control: the governorship, both chambers of the state legislature, and a majority…","RT @benwikler: In Wisconsin, right now, the GOP has total control: the governorship, both chambers of the state legislature, and a majority…",RT @benwikler In Wisconsin right now the GOP has total control the governorship both chambers of the state legislature and a majority…,"['RT', '@benwikler', 'In', 'Wisconsin', 'right', 'now', 'the', 'GOP', 'has', 'total', 'control', 'the', 'governorship', 'both', 'chambers', 'of', 'the', 'state', 'legislature', 'and', 'a', 'majority…']",RT @benwikler In Wisconsin right GOP total control governorship chambers state legislature majority…,"[('RT', '@benwikler'), ('@benwikler', 'In'), ('In', 'Wisconsin'), ('Wisconsin', 'right'), ('right', 'now'), ('now', 'the'), ('the', 'GOP'), ('GOP', 'has'), ('has', 'total'), ('total', 'control'), ('control', 'the'), ('the', 'governorship'), ('governorship', 'both'), ('both', 'chambers'), ('chambers', 'of'), ('of', 'the'), ('the', 'state'), ('state', 'legislature'), ('legislature', 'and'), ('and', 'a'), ('a', 'majority…')]","[('RT', '@benwikler', 'In'), ('@benwikler', 'In', 'Wisconsin'), ('In', 'Wisconsin', 'right'), ('Wisconsin', 'right', 'now'), ('right', 'now', 'the'), ('now', 'the', 'GOP'), ('the', 'GOP', 'has'), ('GOP', 'has', 'total'), ('has', 'total', 'control'), ('total', 'control', 'the'), ('control', 'the', 'governorship'), ('the', 'governorship', 'both'), ('governorship', 'both', 'chambers'), ('both', 'chambers', 'of'), ('chambers', 'of', 'the'), ('of', 'the', 'state'), ('the', 'state', 'legislature'), ('state', 'legislature', 'and'), ('legislature', 'and', 'a'), ('and', 'a', 'majority…')]",Negative,1
